Accession,Organism_Name,Species,Pangolin,PangoVersions,Genotype,Isolate,Length,Nuc_Completeness,Geo_Location,Host,Tissue_Specimen_Source,Submitters,Collection_Date,Release_Date,Molecule_type
MT467238,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC46,29800,complete,India: Ahmedabad,Homo sapiens,,"Khandelwal,N., Vaghela,G., Barve,S., Modi,B., Joshi,K., Shrimali,G., Sood,N., Shah,P., Dixit,R.D., Bagatharia,S., Upadhyay,K.J., Pandit,R., Shah,T., Hinsu,A., Sabara,P., Puvar,A., Raval,J., Gandhi,M., Trivedi,P., Pandya,M., Kanani,A., Verma,A., Savaliya,N., Kumar,R., Kumar,D., Saiyed,Z., Kinariwala,D., Patel,D., Aring,B., Majumdar,S., Joshi,C., Joshi,M.",2020-04-29,2020-05-14,ssRNA(+)
MT467239,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC26,29800,complete,India: Ahmedabad,Homo sapiens,,"Bagatharia,S., Upadhyay,K.J., Pandit,R., Shah,T., Hinsu,A., Sabara,P., Puvar,A., Raval,J., Gandhi,M., Trivedi,P., Pandya,M., Kanani,A., Verma,A., Savaliya,N., Kumar,R., Kumar,D., Saiyed,Z., Kinariwala,D., Patel,D., Aring,B., Khandelwal,N., Vaghela,G., Barve,S., Modi,B., Joshi,K., Shrimali,G., Sood,N., Shah,P., Dixit,R.D., Patel,N., Joshi,C., Joshi,M.",2020-04-26,2020-05-14,ssRNA(+)
MT467240,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.145,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC47,29800,complete,India: Ahmedabad,Homo sapiens,,"Vaghela,G., Barve,S., Modi,B., Joshi,K., Shrimali,G., Sood,N., Shah,P., Dixit,R.D., Bagatharia,S., Upadhyay,K.J., Pandit,R., Shah,T., Hinsu,A., Sabara,P., Puvar,A., Raval,J., Gandhi,M., Trivedi,P., Pandya,M., Kanani,A., Verma,A., Savaliya,N., Kumar,R., Kumar,D., Saiyed,Z., Kinariwala,D., Patel,D., Aring,B., Khandelwal,N., Doshi,P.P., Joshi,C., Joshi,M.",2020-04-30,2020-05-14,ssRNA(+)
MT467241,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.145,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC27,29800,complete,India: Ahmedabad,Homo sapiens,,"Upadhyay,K.J., Pandit,R., Shah,T., Hinsu,A., Sabara,P., Puvar,A., Raval,J., Gandhi,M., Trivedi,P., Pandya,M., Kanani,A., Verma,A., Savaliya,N., Kumar,R., Kumar,D., Saiyed,Z., Kinariwala,D., Patel,D., Aring,B., Khandelwal,N., Vaghela,G., Barve,S., Modi,B., Joshi,K., Shrimali,G., Sood,N., Shah,P., Dixit,R.D., Bagatharia,S., Pandita,P., Joshi,C., Joshi,M.",2020-04-26,2020-05-14,ssRNA(+)
MT467242,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC48,29800,complete,India: Ahmedabad,Homo sapiens,,"Barve,S., Modi,B., Joshi,K., Shrimali,G., Sood,N., Shah,P., Dixit,R.D., Bagatharia,S., Upadhyay,K.J., Pandit,R., Shah,T., Hinsu,A., Sabara,P., Puvar,A., Raval,J., Gandhi,M., Trivedi,P., Pandya,M., Kanani,A., Verma,A., Savaliya,N., Kumar,R., Kumar,D., Saiyed,Z., Kinariwala,D., Patel,D., Aring,B., Khandelwal,N., Vaghela,G., Patel,N., Joshi,C., Joshi,M.",2020-04-29,2020-05-14,ssRNA(+)
MT467243,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.36.8,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC28,29800,complete,India: Ahmedabad,Homo sapiens,,"Pandit,R., Shah,T., Hinsu,A., Sabara,P., Puvar,A., Raval,J., Gandhi,M., Trivedi,P., Pandya,M., Kanani,A., Verma,A., Savaliya,N., Kumar,R., Kumar,D., Saiyed,Z., Kinariwala,D., Patel,D., Aring,B., Khandelwal,N., Vaghela,G., Barve,S., Modi,B., Joshi,K., Shrimali,G., Sood,N., Shah,P., Dixit,R.D., Bagatharia,S., Upadhyay,K.J., Rajpara,N., Joshi,C., Joshi,M.",2020-04-30,2020-05-14,ssRNA(+)
MT467244,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC29,29800,complete,India: Ahmedabad,Homo sapiens,,"Shah,T., Hinsu,A., Sabara,P., Puvar,A., Raval,J., Gandhi,M., Trivedi,P., Pandya,M., Kanani,A., Verma,A., Savaliya,N., Kumar,R., Kumar,D., Saiyed,Z., Kinariwala,D., Patel,D., Aring,B., Khandelwal,N., Vaghela,G., Barve,S., Modi,B., Joshi,K., Shrimali,G., Sood,N., Shah,P., Dixit,R.D., Bagatharia,S., Upadhyay,K.J., Pandit,R., Ansari,A., Joshi,C., Joshi,M.",2020-04-30,2020-05-14,ssRNA(+)
MT467245,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.36.8,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC30,29800,complete,India: Ahmedabad,Homo sapiens,,"Hinsu,A., Sabara,P., Puvar,A., Raval,J., Gandhi,M., Trivedi,P., Pandya,M., Kanani,A., Verma,A., Savaliya,N., Kumar,R., Kumar,D., Saiyed,Z., Kinariwala,D., Patel,D., Aring,B., Khandelwal,N., Vaghela,G., Barve,S., Modi,B., Joshi,K., Shrimali,G., Sood,N., Shah,P., Dixit,R.D., Bagatharia,S., Upadhyay,K.J., Pandit,R., Nathani,N., Shah,T., Joshi,C., Joshi,M.",2020-04-29,2020-05-14,ssRNA(+)
MT467246,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC40,29801,complete,India: Ahmedabad,Homo sapiens,,"Kumar,R., Kumar,D., Saiyed,Z., Kinariwala,D., Patel,D., Aring,B., Khandelwal,N., Vaghela,G., Barve,S., Modi,B., Joshi,K., Shrimali,G., Sood,N., Shah,P., Dixit,R.D., Bagatharia,S., Upadhyay,K.J., Pandit,R., Shah,T., Hinsu,A., Sabara,P., Puvar,A., Raval,J., Gandhi,M., Trivedi,P., Pandya,M., Kanani,A., Verma,A., Savaliya,N., Ansari,A., Joshi,C., Joshi,M.",2020-04-29,2020-05-14,ssRNA(+)
MT467247,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.145,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC31,29800,complete,India: Ahmedabad,Homo sapiens,,"Sabara,P., Puvar,A., Raval,J., Gandhi,M., Trivedi,P., Pandya,M., Kanani,A., Verma,A., Savaliya,N., Kumar,R., Kumar,D., Saiyed,Z., Kinariwala,D., Patel,D., Aring,B., Khandelwal,N., Vaghela,G., Barve,S., Modi,B., Joshi,K., Shrimali,G., Sood,N., Shah,P., Dixit,R.D., Bagatharia,S., Upadhyay,K.J., Pandit,R., Shah,T., Hinsu,A., Chaudhari,A., Joshi,C., Joshi,M.",2020-04-29,2020-05-14,ssRNA(+)
MT467248,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.36.8,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC41,29800,complete,India: Ahmedabad,Homo sapiens,,"Kumar,D., Saiyed,Z., Kinariwala,D., Patel,D., Aring,B., Khandelwal,N., Vaghela,G., Barve,S., Modi,B., Joshi,K., Shrimali,G., Sood,N., Shah,P., Dixit,R.D., Bagatharia,S., Upadhyay,K.J., Pandit,R., Shah,T., Hinsu,A., Sabara,P., Puvar,A., Raval,J., Gandhi,M., Trivedi,P., Pandya,M., Kanani,A., Verma,A., Savaliya,N., Kumar,R., Nathani,N., Joshi,C., Joshi,M.",2020-04-29,2020-05-14,ssRNA(+)
MT467249,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC32,29800,complete,India: Ahmedabad,Homo sapiens,,"Puvar,A., Raval,J., Gandhi,M., Trivedi,P., Pandya,M., Kanani,A., Verma,A., Savaliya,N., Kumar,R., Kumar,D., Saiyed,Z., Kinariwala,D., Patel,D., Aring,B., Khandelwal,N., Vaghela,G., Barve,S., Modi,B., Joshi,K., Shrimali,G., Sood,N., Shah,P., Dixit,R.D., Bagatharia,S., Upadhyay,K.J., Pandit,R., Shah,T., Hinsu,A., Sabara,P., Jindal,B., Joshi,C., Joshi,M.",2020-04-29,2020-05-14,ssRNA(+)
MT467250,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC42,29800,complete,India: Ahmedabad,Homo sapiens,,"Saiyed,Z., Kinariwala,D., Patel,D., Aring,B., Khandelwal,N., Vaghela,G., Barve,S., Modi,B., Joshi,K., Shrimali,G., Sood,N., Shah,P., Dixit,R.D., Bagatharia,S., Upadhyay,K.J., Pandit,R., Shah,T., Hinsu,A., Sabara,P., Puvar,A., Raval,J., Gandhi,M., Trivedi,P., Pandya,M., Kanani,A., Verma,A., Savaliya,N., Kumar,R., Kumar,D., Chaudhari,A., Joshi,C., Joshi,M.",2020-04-29,2020-05-14,ssRNA(+)
MT467251,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC43,29800,complete,India: Ahmedabad,Homo sapiens,,"Kinariwala,D., Patel,D., Aring,B., Khandelwal,N., Vaghela,G., Barve,S., Modi,B., Joshi,K., Shrimali,G., Sood,N., Shah,P., Dixit,R.D., Bagatharia,S., Upadhyay,K.J., Pandit,R., Shah,T., Hinsu,A., Sabara,P., Puvar,A., Raval,J., Gandhi,M., Trivedi,P., Pandya,M., Kanani,A., Verma,A., Savaliya,N., Kumar,R., Kumar,D., Saiyed,Z., Jindal,B., Joshi,C., Joshi,M.",2020-04-29,2020-05-14,ssRNA(+)
MT467252,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.145,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC44,29800,complete,India: Ahmedabad,Homo sapiens,,"Patel,D., Aring,B., Khandelwal,N., Vaghela,G., Barve,S., Modi,B., Joshi,K., Shrimali,G., Sood,N., Shah,P., Dixit,R.D., Bagatharia,S., Upadhyay,K.J., Pandit,R., Shah,T., Hinsu,A., Sabara,P., Puvar,A., Raval,J., Gandhi,M., Trivedi,P., Pandya,M., Kanani,A., Verma,A., Savaliya,N., Kumar,R., Kumar,D., Saiyed,Z., Kinariwala,D., Shewale,D., Joshi,C., Joshi,M.",2020-04-29,2020-05-14,ssRNA(+)
MT467253,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.36.8,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC45,29800,complete,India: Ahmedabad,Homo sapiens,,"Aring,B., Khandelwal,N., Vaghela,G., Barve,S., Modi,B., Joshi,K., Shrimali,G., Sood,N., Shah,P., Dixit,R.D., Bagatharia,S., Upadhyay,K.J., Pandit,R., Shah,T., Hinsu,A., Sabara,P., Puvar,A., Raval,J., Gandhi,M., Trivedi,P., Pandya,M., Kanani,A., Verma,A., Savaliya,N., Kumar,R., Kumar,D., Saiyed,Z., Kinariwala,D., Patel,D., Shewale,D., Joshi,C., Joshi,M.",2020-04-29,2020-05-14,ssRNA(+)
MT467254,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.36.8,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC33,29800,complete,India: Ahmedabad,Homo sapiens,,"Raval,J., Gandhi,M., Trivedi,P., Pandya,M., Kanani,A., Verma,A., Savaliya,N., Kumar,R., Kumar,D., Saiyed,Z., Kinariwala,D., Patel,D., Aring,B., Khandelwal,N., Vaghela,G., Barve,S., Modi,B., Joshi,K., Shrimali,G., Sood,N., Shah,P., Dixit,R.D., Bagatharia,S., Upadhyay,K.J., Pandit,R., Shah,T., Hinsu,A., Sabara,P., Puvar,A., Shewale,D., Joshi,C., Joshi,M.",2020-04-29,2020-05-14,ssRNA(+)
MT467255,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC49,29800,complete,India: Ahmedabad,Homo sapiens,,"Modi,B., Joshi,K., Shrimali,G., Sood,N., Shah,P., Dixit,R.D., Bagatharia,S., Upadhyay,K.J., Pandit,R., Shah,T., Hinsu,A., Sabara,P., Puvar,A., Raval,J., Gandhi,M., Trivedi,P., Pandya,M., Kanani,A., Verma,A., Savaliya,N., Kumar,R., Kumar,D., Saiyed,Z., Kinariwala,D., Patel,D., Aring,B., Khandelwal,N., Vaghela,G., Barve,S., Pandita,P., Joshi,C., Joshi,M.",2020-04-30,2020-05-14,ssRNA(+)
MT467256,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.36.8,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC34,29800,complete,India: Ahmedabad,Homo sapiens,,"Gandhi,M., Trivedi,P., Pandya,M., Kanani,A., Verma,A., Savaliya,N., Kumar,R., Kumar,D., Saiyed,Z., Kinariwala,D., Patel,D., Aring,B., Khandelwal,N., Vaghela,G., Barve,S., Modi,B., Joshi,K., Shrimali,G., Sood,N., Shah,P., Dixit,R.D., Bagatharia,S., Upadhyay,K.J., Pandit,R., Shah,T., Hinsu,A., Sabara,P., Puvar,A., Raval,J., Rajwar,A., Joshi,C., Joshi,M.",2020-04-29,2020-05-14,ssRNA(+)
MT467257,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC50,29800,complete,India: Ahmedabad,Homo sapiens,,"Joshi,K., Shrimali,G., Sood,N., Shah,P., Dixit,R.D., Bagatharia,S., Upadhyay,K.J., Pandit,R., Shah,T., Hinsu,A., Sabara,P., Puvar,A., Raval,J., Gandhi,M., Trivedi,P., Pandya,M., Kanani,A., Verma,A., Savaliya,N., Kumar,R., Kumar,D., Saiyed,Z., Kinariwala,D., Patel,D., Aring,B., Khandelwal,N., Vaghela,G., Barve,S., Modi,B., Rajpara,N., Joshi,C., Joshi,M.",2020-04-30,2020-05-14,ssRNA(+)
MT467258,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.36.8,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC35,29800,complete,India: Ahmedabad,Homo sapiens,,"Trivedi,P., Pandya,M., Kanani,A., Verma,A., Savaliya,N., Kumar,R., Kumar,D., Saiyed,Z., Kinariwala,D., Patel,D., Aring,B., Khandelwal,N., Vaghela,G., Barve,S., Modi,B., Joshi,K., Shrimali,G., Sood,N., Shah,P., Dixit,R.D., Bagatharia,S., Upadhyay,K.J., Pandit,R., Shah,T., Hinsu,A., Sabara,P., Puvar,A., Raval,J., Gandhi,M., Majumdar,S., Joshi,C., Joshi,M.",2020-04-29,2020-05-14,ssRNA(+)
MT451881,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.36.8,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC17a,29801,complete,India: Ahmedabad,Homo sapiens,,"Patel,D., Aring,B., Khandelwal,N., Vaghela,G., Barve,S., Modi,B., Joshi,K., Shrimali,G., Sood,N., Shah,P., Dixit,R.D., Bagatharia,S., Upadhyay,K.J., Pandit,R., Shah,T., Hinsu,A., Sabara,P., Puvar,A., Raval,J., Gandhi,M., Trivedi,P., Pandya,M., Kanani,A., Verma,A., Savaliya,N., Kumar,R., Kumar,D., Saiyed,Z., Kinariwala,D., Patel,N., Joshi,C., Joshi,M.",2020-04-26,2020-05-11,ssRNA(+)
MT451882,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.36.8,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC17b,29801,complete,India: Ahmedabad,Homo sapiens,,"Aring,B., Khandelwal,N., Vaghela,G., Barve,S., Modi,B., Joshi,K., Shrimali,G., Sood,N., Shah,P., Dixit,R.D., Bagatharia,S., Upadhyay,K.J., Pandit,R., Shah,T., Hinsu,A., Sabara,P., Puvar,A., Raval,J., Gandhi,M., Trivedi,P., Pandya,M., Kanani,A., Verma,A., Savaliya,N., Kumar,R., Kumar,D., Saiyed,Z., Kinariwala,D., Patel,D., Pandita,P., Joshi,C., Joshi,M.",2020-04-26,2020-05-11,ssRNA(+)
MT451883,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC18,29801,complete,India: Ahmedabad,Homo sapiens,,"Khandelwal,N., Vaghela,G., Barve,S., Modi,B., Joshi,K., Shrimali,G., Sood,N., Shah,P., Dixit,R.D., Bagatharia,S., Upadhyay,K.J., Pandit,R., Shah,T., Hinsu,A., Sabara,P., Puvar,A., Raval,J., Gandhi,M., Trivedi,P., Pandya,M., Kanani,A., Verma,A., Savaliya,N., Kumar,R., Kumar,D., Saiyed,Z., Kinariwala,D., Patel,D., Aring,B., Rajpara,N., Joshi,C., Joshi,M.",2020-04-26,2020-05-11,ssRNA(+)
MT451884,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC19,29801,complete,India: Ahmedabad,Homo sapiens,,"Vaghela,G., Barve,S., Modi,B., Joshi,K., Shrimali,G., Sood,N., Shah,P., Dixit,R.D., Bagatharia,S., Upadhyay,K.J., Pandit,R., Shah,T., Hinsu,A., Sabara,P., Puvar,A., Raval,J., Gandhi,M., Trivedi,P., Pandya,M., Kanani,A., Verma,A., Savaliya,N., Kumar,R., Kumar,D., Saiyed,Z., Kinariwala,D., Patel,D., Aring,B., Khandelwal,N., Ansari,A., Joshi,C., Joshi,M.",2020-04-26,2020-05-11,ssRNA(+)
MT451885,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC20,29801,complete,India: Ahmedabad,Homo sapiens,,"Barve,S., Modi,B., Joshi,K., Shrimali,G., Sood,N., Shah,P., Dixit,R.D., Bagatharia,S., Upadhyay,K.J., Pandit,R., Shah,T., Hinsu,A., Sabara,P., Puvar,A., Raval,J., Gandhi,M., Trivedi,P., Pandya,M., Kanani,A., Verma,A., Savaliya,N., Kumar,R., Kumar,D., Saiyed,Z., Kinariwala,D., Patel,D., Aring,B., Khandelwal,N., Vaghela,G., Nathani,N., Joshi,C., Joshi,M.",2020-04-26,2020-05-11,ssRNA(+)
MT451886,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC21,29801,complete,India: Ahmedabad,Homo sapiens,,"Modi,B., Joshi,K., Shrimali,G., Sood,N., Shah,P., Dixit,R.D., Bagatharia,S., Upadhyay,K.J., Pandit,R., Shah,T., Hinsu,A., Sabara,P., Puvar,A., Raval,J., Gandhi,M., Trivedi,P., Pandya,M., Kanani,A., Verma,A., Savaliya,N., Kumar,R., Kumar,D., Saiyed,Z., Kinariwala,D., Patel,D., Aring,B., Khandelwal,N., Vaghela,G., Barve,S., Chaudhari,A., Joshi,C., Joshi,M.",2020-04-26,2020-05-11,ssRNA(+)
MT451887,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC22,29801,complete,India: Ahmedabad,Homo sapiens,,"Joshi,K., Shrimali,G., Sood,N., Shah,P., Dixit,R.D., Bagatharia,S., Upadhyay,K.J., Pandit,R., Shah,T., Hinsu,A., Sabara,P., Puvar,A., Raval,J., Gandhi,M., Trivedi,P., Pandya,M., Kanani,A., Verma,A., Savaliya,N., Kumar,R., Kumar,D., Saiyed,Z., Kinariwala,D., Patel,D., Aring,B., Khandelwal,N., Vaghela,G., Barve,S., Modi,B., Jindal,B., Joshi,C., Joshi,M.",2020-04-26,2020-05-11,ssRNA(+)
MT451888,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.36.8,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC23,29801,complete,India: Ahmedabad,Homo sapiens,,"Shrimali,G., Sood,N., Shah,P., Dixit,R.D., Bagatharia,S., Upadhyay,K.J., Pandit,R., Shah,T., Hinsu,A., Sabara,P., Puvar,A., Raval,J., Gandhi,M., Trivedi,P., Pandya,M., Kanani,A., Verma,A., Savaliya,N., Kumar,R., Kumar,D., Saiyed,Z., Kinariwala,D., Patel,D., Aring,B., Khandelwal,N., Vaghela,G., Barve,S., Modi,B., Joshi,K., Joshi,C., Rajwar,A., Joshi,M.",2020-04-26,2020-05-11,ssRNA(+)
MT451889,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.6,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC24a,29801,complete,India: Ahmedabad,Homo sapiens,,"Sood,N., Shah,P., Dixit,R.D., Bagatharia,S., Upadhyay,K.J., Pandit,R., Shah,T., Hinsu,A., Sabara,P., Puvar,A., Raval,J., Gandhi,M., Trivedi,P., Pandya,M., Kanani,A., Verma,A., Savaliya,N., Kumar,R., Kumar,D., Saiyed,Z., Kinariwala,D., Patel,D., Aring,B., Khandelwal,N., Vaghela,G., Barve,S., Modi,B., Joshi,K., Shrimali,G., Joshi,C., Shewale,D., Joshi,M.",2020-04-26,2020-05-11,ssRNA(+)
MT451890,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.6,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC24b,29801,complete,India: Ahmedabad,Homo sapiens,,"Shah,P., Dixit,R.D., Bagatharia,S., Upadhyay,K.J., Pandit,R., Shah,T., Hinsu,A., Sabara,P., Puvar,A., Raval,J., Gandhi,M., Trivedi,P., Pandya,M., Kanani,A., Verma,A., Savaliya,N., Kumar,R., Kumar,D., Saiyed,Z., Kinariwala,D., Patel,D., Aring,B., Khandelwal,N., Vaghela,G., Barve,S., Modi,B., Joshi,K., Shrimali,G., Sood,N., Joshi,C., Majumdar,S., Joshi,M.",2020-04-26,2020-05-11,ssRNA(+)
MT435079,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC2,29800,complete,India: Ahmedabad,Homo sapiens,,"Trivedi,P., Pandya,M., Kanani,A., Verma,A., Savaliya,N., Kumar,R., Kumar,D., Saiyed,Z., Kinariwala,D., Patel,D., Aring,B., Vaghela,G., Barve,S., Modi,B., Joshi,K., Shrimali,G., Sood,N., Shah,P., Dixit,R.D., Bagatharia,S., Upadhyay,K.J., Pandit,R., Shah,T., Hinsu,A., Sabara,P., Puvar,A., Raval,J., Gandhi,M., Rajpara,N., Joshi,C., Joshi,M.",2020-04-13,2020-05-06,ssRNA(+)
MT435080,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC3,29800,complete,India: Ahmedabad,Homo sapiens,,"Hinsu,A., Sabara,P., Puvar,A., Raval,J., Gandhi,M., Trivedi,P., Pandya,M., Kanani,A., Verma,A., Savaliya,N., Kumar,R., Kumar,D., Saiyed,Z., Kinariwala,D., Patel,D., Aring,B., Vaghela,G., Barve,S., Modi,B., Joshi,K., Shrimali,G., Sood,N., Shah,P., Dixit,R.D., Bagatharia,S., Upadhyay,K.J., Pandit,R., Shah,T., Shewale,D., Chaitanya,C., Joshi,M.",2020-04-13,2020-05-06,ssRNA(+)
MT435081,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC4,29800,complete,India: Ahmedabad,Homo sapiens,,"Sabara,P., Puvar,A., Raval,J., Gandhi,M., Trivedi,P., Pandya,M., Kanani,A., Verma,A., Savaliya,N., Kumar,R., Kumar,D., Saiyed,Z., Kinariwala,D., Patel,D., Aring,B., Vaghela,G., Barve,S., Modi,B., Joshi,K., Shrimali,G., Sood,N., Shah,P., Dixit,R.D., Bagatharia,S., Upadhyay,K.J., Pandit,R., Shah,T., Hinsu,A., Sharma,V., Joshi,C., Joshi,M.",2020-04-13,2020-05-06,ssRNA(+)
MT435082,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC5,29800,complete,India: Ahmedabad,Homo sapiens,,"Puvar,A., Raval,J., Gandhi,M., Trivedi,P., Pandya,M., Kanani,A., Verma,A., Savaliya,N., Kumar,R., Kumar,D., Saiyed,Z., Kinariwala,D., Patel,D., Aring,B., Vaghela,G., Barve,S., Modi,B., Joshi,K., Shrimali,G., Sood,N., Shah,P., Dixit,R.D., Bagatharia,S., Upadhyay,K.J., Pandit,R., Shah,T., Hinsu,A., Sabara,P., Doshi,P.P., Joshi,C., Joshi,M.",2020-04-13,2020-05-06,ssRNA(+)
MT435083,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC6,29800,complete,India: Ahmedabad,Homo sapiens,,"Raval,J., Gandhi,M., Trivedi,P., Pandya,M., Kanani,A., Verma,A., Savaliya,N., Kumar,R., Kumar,D., Saiyed,Z., Kinariwala,D., Patel,D., Aring,B., Vaghela,G., Barve,S., Modi,B., Joshi,K., Shrimali,G., Sood,N., Shah,P., Dixit,R.D., Bagatharia,S., Upadhyay,K.J., Pandit,R., Shah,T., Hinsu,A., Sabara,P., Puvar,A., Patel,N., Joshi,C., Joshi,M.",2020-04-07,2020-05-06,ssRNA(+)
MT435084,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC7,29800,complete,India: Ahmedabad,Homo sapiens,,"Gandhi,M., Trivedi,P., Pandya,M., Kanani,A., Verma,A., Savaliya,N., Kumar,R., Kumar,D., Saiyed,Z., Kinariwala,D., Patel,D., Aring,B., Vaghela,G., Barve,S., Modi,B., Joshi,K., Shrimali,G., Sood,N., Shah,P., Dixit,R.D., Bagatharia,S., Upadhyay,K.J., Pandit,R., Shah,T., Hinsu,A., Sabara,P., Puvar,A., Raval,J., Pandita,P., Joshi,C., Joshi,M.",2020-04-14,2020-05-06,ssRNA(+)
MW595919,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.1.7,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC444,29782,complete,India: Anand,Homo sapiens,,"Shah,A., Patel,Z., Savaliya,N., Kumar,D., Saiyed,Z., Pandya,L., Ansari,A., Trivedi,N., Puvar,A., Pandit,R., Raval,J., Pethani,J., Patel,M., Shaikh,N.M., Chauhan,B., Mehta,T., Prajapati,B., Joshi,C., Joshi,M.",2020-12-22,2021-02-12,ssRNA(+)
